Make,Model,Price,Make_Year,CC,Assembly,Mileage,Registered City,Transmission
61,96,1250000,1998,1300,1,0.07999915999832,144,0
59,186,365000,1993,1000,1,0.14999929999859998,97,0
59,105,1100000,2013,1000,1,0.0749991499983,164,0
59,105,560000,2004,1000,1,0.19999939999879998,43,0
51,282,95000000,2018,5000,0,0.018999037998075993,180,1
61,96,2925000,2018,1300,1,0.05199910399820799,80,1
25,87,2700000,2014,1800,1,0.113999227998456,97,1
59,210,710000,2014,800,1,0.088999177998356,80,0
61,96,1250000,1995,1500,0,0.00014900029800059598,97,1
59,327,1350000,2012,1300,1,0.14999929999859998,43,0
59,364,1550000,2015,660,0,0.11499922999845999,66,1
61,362,1550000,2010,1000,0,0.078999157998316,80,1
61,96,3150000,2019,1300,1,0.012999025998051996,66,0
42,50,4200000,2007,1800,0,0.083999167998336,97,1
25,87,2285000,2012,1800,1,0.12899925799851597,97,1
25,87,3350000,2016,1800,1,0.02699905399810799,66,1
25,86,3050000,2021,1500,1,1.4000028000055997e-05,180,1
61,193,1725000,2013,4600,0,0.04833209666419332,66,1
14,72,1725000,2017,660,0,0.04799909599819199,180,1
59,327,1785000,2018,1300,1,0.05499910999821999,66,0
61,193,36600000,2016,4608,0,0.02074304148608297,180,1
25,86,1725000,2017,1500,1,0.06199912399824799,97,0
61,193,42500000,2017,4608,0,0.014249028498056995,180,1
61,96,2565000,2016,1300,1,0.08099916199832399,97,0
14,56,1365000,2007,1000,0,0.09399918799837599,97,1
